ID,CAD,Estação,coordenação,Nome,Municipios,Altitude,Início,Fim,Anos,X_coord,Y_coord,TEMP_MÉD_ANUAL,CHUVA,ETP,ETR,DEF,EXC,ER/ETP
1,300,1839000,ANA,MORRO D'ANTA (PEDRO CANARIO),PEDRO CANÁRIO,66,1977,2006,30,"-39,96","-18,30","24,8","1037,0","1382,3","1037,0","345,3","0,0","0,750187603"
2,300,1839001,ANA,CONÇEIÇÃO DA BARRA,CONÇEIÇÃO DA BARRA,3,1977,2006,30,"-39,75","-18,56","25,1","1164,7","1413,2","1164,7","248,5","0,0","0,8"
3,300,1839006,ANA,BARRA NOVA,SÃO MATEUS,6,1977,2006,30,"-39,76","-18,95","25,0","1394,9","1397,8","1351,2","46,6","43,7","1,0"
4,300,1840000,ANA,AGUIA BRANCA,AGUIA BRANCA,180,1977,2006,30,"-40,75","-18,99","24,5","1250,8","1341,7","1241,1","100,7","9,8","0,9"
5,300,1840003,ANA,ITAUNINHAS,SÃO MATEUS,90,1977,2006,30,"-40,09","-18,49","24,7","1127,7","1367,4","1127,7","239,7","0,0","0,8"
6,300,1840004,ANA,BARRA DE SAO FRANCISCO,BARRA DE SÃO FRANCISCO,192,1977,2006,30,"-40,89","-18,75","24,6","1097,6","1355,2","1097,6","257,6","0,0","0,8"
7,300,1840007,ANA,AGUA DOCE,AGUA DOCE DO NORTE,280,1977,2006,30,"-40,98","-18,55","24,1","1217,0","1289,0","1196,6","92,4","20,5","0,9"
8,300,1840008,ANA,PONTE NOVA (BR-101),JAGUARÉ,60,1977,2006,30,"-39,99","-18,98","24,8","1610,7","1369,2","1336,0","33,2","274,7","1,0"
9,300,1840009,ANA,FAZENDA SAO MATEUS,ECOPORANGA,190,1977,2006,30,"-40,89","-18,12","24,8","1089,3","1379,4","1089,3","290,1","0,0","0,8"
10,300,1840010,ANA,CEDROLANDIA,NOVA VENÉCIA ,300,1977,2006,30,"-40,69","-18,81","23,7","1197,1","1232,8","1147,5","85,3","49,6","0,9"
